[s],CH2[V]
-1.7400E-04,-1.873510141E-02
-1.7200E-04,-2.476049302E-02
-1.7000E-04,-1.988744535E-02
-1.6800E-04,-2.401830540E-02
-1.6600E-04,-1.987767972E-02
-1.6400E-04,-1.833471072E-02
-1.6200E-04,-2.360814908E-02
-1.6000E-04,-2.474096177E-02
-1.5800E-04,-1.946752340E-02
-1.5600E-04,-1.947728903E-02
-1.5400E-04,-1.725072617E-02
-1.5200E-04,-2.174291440E-02
-1.5000E-04,-2.513158683E-02
-1.4800E-04,-2.776830601E-02
-1.4600E-04,-2.551244627E-02
-1.4400E-04,-2.365697722E-02
-1.4200E-04,-3.074682213E-02
-1.4000E-04,-3.040502520E-02
-1.3800E-04,-2.551244627E-02
-1.3600E-04,-2.813939983E-02
-1.3400E-04,-2.477025865E-02
-1.3200E-04,-2.811986857E-02
-1.3000E-04,-2.284643021E-02
-1.2800E-04,-2.965307195E-02
-1.2600E-04,-2.588354008E-02
-1.2400E-04,-1.988744535E-02
-1.2200E-04,-2.851049364E-02
-1.2000E-04,-2.551244627E-02
-1.1800E-04,-2.439916484E-02
-1.1600E-04,-2.140111747E-02
-1.1400E-04,-2.739721220E-02
-1.1200E-04,-2.659643082E-02
-1.1000E-04,-2.698705589E-02
-1.0800E-04,-2.286596146E-02
-1.0600E-04,-2.362768034E-02
-1.0400E-04,-2.775854039E-02
-1.0200E-04,-2.665502458E-02
-1.0000E-04,-2.512182121E-02
-9.8000E-05,-2.327611778E-02
-9.6000E-05,-3.074682213E-02
-9.4000E-05,-2.514135246E-02
-9.2000E-05,-2.661596208E-02
-9.0000E-05,-2.735814970E-02
-8.8000E-05,-2.175268003E-02
-8.6000E-05,-2.627416515E-02
-8.4000E-05,-2.699682151E-02
-8.2000E-05,-2.773900914E-02
-8.0000E-05,-2.622533701E-02
-7.8000E-05,-2.212377384E-02
-7.6000E-05,-2.736791532E-02
-7.4000E-05,-2.514135246E-02
-7.2000E-05,-2.774877476E-02
-7.0000E-05,-2.513158683E-02
-6.8000E-05,-2.627416515E-02
-6.6000E-05,-2.360814908E-02
-6.4000E-05,-2.698705589E-02
-6.2000E-05,-2.626439952E-02
-6.0000E-05,-2.550268064E-02
-5.8000E-05,-2.926244688E-02
-5.6000E-05,-2.775854039E-02
-5.4000E-05,-2.887182182E-02
-5.2000E-05,-2.884252494E-02
-5.0000E-05,-3.073705650E-02
-4.8000E-05,-3.040502520E-02
-4.6000E-05,-3.524877599E-02
-4.4000E-05,-3.186986919E-02
-4.2000E-05,-2.585424320E-02
-4.0000E-05,-2.885229057E-02
-3.8000E-05,-3.152807226E-02
-3.6000E-05,-3.225072862E-02
-3.4000E-05,-3.376440075E-02
-3.2000E-05,-2.925268126E-02
-3.0000E-05,-3.226049425E-02
-2.8000E-05,-3.339330694E-02
-2.6000E-05,-3.152807226E-02
-2.4000E-05,-2.925268126E-02
-2.2000E-05,-2.551244627E-02
-2.0000E-05,-3.154760351E-02
-1.8000E-05,-2.851049364E-02
-1.6000E-05,-2.774877476E-02
-1.4000E-05,-2.927221251E-02
-1.2000E-05,-2.551244627E-02
-1.0000E-05,-3.039525957E-02
-8.0002E-06,-2.660619645E-02
-6.0002E-06,-2.962377507E-02
-4.0002E-06,-3.003393139E-02
-2.0002E-06,-3.112768157E-02
-1.5120E-10,-2.437963358E-02
1.9998E-06,2.020601170E+00
3.9998E-06,4.714517628E+00
5.9998E-06,4.736265678E+00
7.9998E-06,4.776783263E+00
9.9998E-06,4.786177796E+00
1.2000E-05,4.793316469E+00
1.4000E-05,4.814712956E+00
1.6000E-05,4.820718817E+00
1.8000E-05,4.836470773E+00
2.0000E-05,4.832720772E+00
2.2000E-05,4.845875071E+00
2.4000E-05,4.848482493E+00
2.6000E-05,4.845464915E+00
2.8000E-05,4.853345775E+00
3.0000E-05,4.857886792E+00
3.2000E-05,4.865396559E+00
3.4000E-05,4.860474683E+00
3.6000E-05,4.864625074E+00
3.8000E-05,4.874371169E+00
4.0000E-05,4.872115310E+00
4.2000E-05,4.872867263E+00
4.4000E-05,4.876968826E+00
4.6000E-05,4.883003983E+00
4.8000E-05,4.886421953E+00
5.0000E-05,4.890894610E+00
5.2000E-05,4.892750079E+00
5.4000E-05,4.897632892E+00
5.6000E-05,4.898365314E+00
5.8000E-05,4.904761799E+00
6.0000E-05,4.901392658E+00
6.2000E-05,4.905132893E+00
6.4000E-05,4.908541097E+00
6.6000E-05,4.908209066E+00
6.8000E-05,4.902134846E+00
7.0000E-05,4.902535236E+00
7.2000E-05,4.905543049E+00
7.4000E-05,4.901373127E+00
7.6000E-05,4.898404376E+00
7.8000E-05,4.898013751E+00
8.0000E-05,4.899517658E+00
8.2000E-05,4.901041096E+00
8.4000E-05,4.898755939E+00
8.6000E-05,4.901002033E+00
8.8000E-05,4.903668049E+00
9.0000E-05,4.892769610E+00
9.2000E-05,4.899517658E+00
9.4000E-05,4.902896565E+00
9.6000E-05,4.899908283E+00
9.8000E-05,4.904029377E+00
1.0000E-04,4.906275471E+00
1.0200E-04,4.913775473E+00
1.0400E-04,4.905523518E+00
1.0600E-04,4.905533284E+00
1.0800E-04,4.908140706E+00
1.1000E-04,4.910767660E+00
1.1200E-04,4.912652426E+00
1.1400E-04,4.910767660E+00
1.1600E-04,4.914546957E+00
1.1800E-04,4.912662191E+00
1.2000E-04,4.910406332E+00
1.2200E-04,4.909293050E+00
1.2400E-04,4.915269614E+00
1.2600E-04,4.914878989E+00
1.2800E-04,4.917154380E+00
1.3000E-04,4.915289145E+00
1.3200E-04,4.916412192E+00
1.3400E-04,4.914136801E+00
1.3600E-04,4.921275474E+00
1.3800E-04,4.924644615E+00
1.4000E-04,4.926920006E+00
1.4200E-04,4.934058679E+00
1.4400E-04,4.932154382E+00
1.4600E-04,4.933306726E+00
1.4800E-04,4.937408289E+00
1.5000E-04,4.940416102E+00
1.5200E-04,4.945308681E+00
1.5400E-04,4.943072353E+00
1.5600E-04,4.947203213E+00
1.5800E-04,4.949820401E+00
1.6000E-04,4.954703214E+00
1.6200E-04,4.950582119E+00
1.6400E-04,4.944195400E+00
1.6600E-04,4.947935635E+00
1.6800E-04,4.946431728E+00
1.7000E-04,4.950591885E+00
1.7200E-04,4.936724695E+00
1.7400E-04,4.944195400E+00
1.7600E-04,4.940777430E+00
1.7800E-04,4.936304773E+00
1.8000E-04,4.940064540E+00
1.8200E-04,4.935943445E+00
1.8400E-04,4.935572351E+00
1.8600E-04,4.931060632E+00
1.8800E-04,4.939693446E+00
1.9000E-04,4.933668054E+00
1.9200E-04,4.943423915E+00
1.9400E-04,4.934791101E+00
1.9600E-04,4.938941492E+00
1.9800E-04,4.938531336E+00
2.0000E-04,4.934068445E+00
2.0200E-04,4.941910243E+00
2.0400E-04,4.942681727E+00
2.0600E-04,4.951295010E+00
2.0800E-04,4.945308681E+00
2.1000E-04,4.944918056E+00
2.1200E-04,4.947193447E+00
2.1400E-04,4.942691493E+00
2.1600E-04,4.944947353E+00
2.1800E-04,4.944156337E+00
2.2000E-04,4.947173916E+00
2.2200E-04,4.943062587E+00
2.2400E-04,4.946441494E+00
2.2600E-04,4.946822353E+00
2.2800E-04,4.939322352E+00
2.3000E-04,4.944527431E+00
2.3200E-04,4.951685635E+00
2.3400E-04,4.956939542E+00
2.3600E-04,4.949058682E+00
2.3800E-04,4.946451259E+00
2.4000E-04,4.955435636E+00
2.4200E-04,4.958072355E+00
2.4400E-04,4.963687590E+00
2.4600E-04,4.965591887E+00
2.4800E-04,4.962564543E+00
2.5000E-04,4.964068450E+00
2.5200E-04,4.962584074E+00
2.5400E-04,4.966314544E+00
2.5600E-04,4.972349701E+00
2.5800E-04,4.968912201E+00
2.6000E-04,4.968941497E+00
2.6200E-04,4.967828216E+00
2.6400E-04,4.969332122E+00
2.6600E-04,4.962574309E+00
2.6800E-04,4.961060637E+00
2.7000E-04,4.961461027E+00
2.7200E-04,4.963677825E+00
2.7400E-04,4.951314541E+00
2.7600E-04,4.959957121E+00
2.7800E-04,4.951285244E+00
2.8000E-04,4.952837979E+00
